"	datetime	price",,,,
"0	2021-07-30T00:00:00.000Z	5.5853",,,,
"1	2021-07-30T08:00:00.000Z	5.4953",,,,
"2	2021-07-30T16:00:00.000Z	5.4547",,,,
"3	2021-07-31T00:00:00.000Z	5.5301",,,,
"4	2021-07-31T08:00:00.000Z	6.3304",,,,
"5	2021-07-31T16:00:00.000Z	6.6237",,,,
"6	2021-08-01T00:00:00.000Z	6.9357",,,,
"7	2021-08-01T08:00:00.000Z	7.7544",,,,
"8	2021-08-01T16:00:00.000Z	8.5474",,,,
"9	2021-08-02T00:00:00.000Z	8.3698",,,,
"10	2021-08-02T08:00:00.000Z	8.2498",,,,
"11	2021-08-02T16:00:00.000Z	8.3847",,,,
"12	2021-08-03T00:00:00.000Z	8.2523",,,,
"13	2021-08-03T08:00:00.000Z	8.411",,,,
"14	2021-08-03T16:00:00.000Z	8.4057",,,,
"15	2021-08-04T00:00:00.000Z	9.1873",,,,
"16	2021-08-04T08:00:00.000Z	11.1525",,,,
"17	2021-08-04T16:00:00.000Z	13.1187",,,,
"18	2021-08-05T00:00:00.000Z	14.0722",,,,
"19	2021-08-05T08:00:00.000Z	14.2844",,,,
"20	2021-08-05T16:00:00.000Z	14.6528",,,,
"21	2021-08-06T00:00:00.000Z	14.7924",,,,
"22	2021-08-06T08:00:00.000Z	14.8793",,,,
"23	2021-08-06T16:00:00.000Z	14.6494",,,,
"24	2021-08-07T00:00:00.000Z	15.0254",,,,
"25	2021-08-07T08:00:00.000Z	15.0021",,,,
"26	2021-08-07T16:00:00.000Z	15.3157",,,,
"27	2021-08-08T00:00:00.000Z	15.4584",,,,
"28	2021-08-08T08:00:00.000Z	14.1829",,,,
"29	2021-08-08T16:00:00.000Z	14.1199",,,,
"30	2021-08-09T00:00:00.000Z	14.0877",,,,
"31	2021-08-09T08:00:00.000Z	14.6055",,,,
"32	2021-08-09T16:00:00.000Z	14.3662",,,,
"33	2021-08-10T00:00:00.000Z	15.0998",,,,
"34	2021-08-10T08:00:00.000Z	15.3312",,,,
"35	2021-08-10T16:00:00.000Z	14.9507",,,,
"36	2021-08-11T00:00:00.000Z	14.675",,,,
"37	2021-08-11T08:00:00.000Z	14.1735",,,,
"38	2021-08-11T16:00:00.000Z	13.5412",,,,
"39	2021-08-12T00:00:00.000Z	13.264",,,,
"40	2021-08-12T08:00:00.000Z	13.1632",,,,
"41	2021-08-12T16:00:00.000Z	13.5145",,,,
"42	2021-08-13T00:00:00.000Z	13.5145",,,,
"43	2021-08-13T08:00:00.000Z	13.5145",,,,
"44	2021-08-13T16:00:00.000Z	13.5735",,,,
"45	2021-08-14T00:00:00.000Z	13.4882",,,,
"46	2021-08-14T08:00:00.000Z	13.9",,,,
"47	2021-08-14T16:00:00.000Z	13.7414",,,,
"48	2021-08-15T00:00:00.000Z	13.5797",,,,
"49	2021-08-15T08:00:00.000Z	14.6576",,,,
"50	2021-08-15T16:00:00.000Z	15.0",,,,
"51	2021-08-16T00:00:00.000Z	14.8824",,,,
"52	2021-08-16T08:00:00.000Z	14.036",,,,
"53	2021-08-16T16:00:00.000Z	14.4924",,,,
"54	2021-08-17T00:00:00.000Z	14.5608",,,,
"55	2021-08-17T08:00:00.000Z	14.9728",,,,
"56	2021-08-17T16:00:00.000Z	14.7829",,,,
"57	2021-08-18T00:00:00.000Z	14.7832",,,,
"58	2021-08-18T08:00:00.000Z	14.829",,,,
"59	2021-08-18T16:00:00.000Z	14.9768",,,,
"60	2021-08-19T00:00:00.000Z	14.9768",,,,
"61	2021-08-19T08:00:00.000Z	14.9768",,,,
"62	2021-08-19T16:00:00.000Z	14.9695",,,,
"63	2021-08-20T00:00:00.000Z	14.9695",,,,
"64	2021-08-20T08:00:00.000Z	14.9695",,,,
"65	2021-08-20T16:00:00.000Z	14.9695",,,,
"66	2021-08-21T00:00:00.000Z	14.9695",,,,
"67	2021-08-21T08:00:00.000Z	14.9695",,,,
"68	2021-08-21T16:00:00.000Z	14.9695",,,,
"69	2021-08-22T00:00:00.000Z	14.9695",,,,
"70	2021-08-22T08:00:00.000Z	14.9695",,,,
"71	2021-08-22T16:00:00.000Z	14.9695",,,,
"72	2021-08-23T00:00:00.000Z	14.9695",,,,
"73	2021-08-23T08:00:00.000Z	14.9695",,,,
"74	2021-08-23T16:00:00.000Z	24.41",,,,
"75	2021-08-24T00:00:00.000Z	24.99",,,,
"76	2021-08-24T08:00:00.000Z	24.99",,,,
"77	2021-08-24T16:00:00.000Z	24.99",,,,
"78	2021-08-25T00:00:00.000Z	24.99",,,,
"79	2021-08-25T08:00:00.000Z	24.99",,,,
"80	2021-08-25T16:00:00.000Z	24.99",,,,
"81	2021-08-26T00:00:00.000Z	24.99",,,,
"82	2021-08-26T08:00:00.000Z	24.99",,,,
"83	2021-08-26T16:00:00.000Z	24.99",,,,
"84	2021-08-27T00:00:00.000Z	24.99",,,,
"85	2021-08-27T08:00:00.000Z	39.0",,,,
"86	2021-08-27T16:00:00.000Z	39.0",,,,
"87	2021-08-28T00:00:00.000Z	39.135",,,,
"88	2021-08-28T08:00:00.000Z	39.18",,,,
"89	2021-08-28T16:00:00.000Z	45.82",,,,
"90	2021-08-29T00:00:00.000Z	56.155",,,,
"91	2021-08-29T08:00:00.000Z	43.2089",,,,
"92	2021-08-29T16:00:00.000Z	46.1575",,,,
"93	2021-08-30T00:00:00.000Z	40.0153",,,,
"94	2021-08-30T08:00:00.000Z	43.0",,,,
"95	2021-08-30T16:00:00.000Z	44.7404",,,,
"96	2021-08-31T00:00:00.000Z	46.1942",,,,
"97	2021-08-31T08:00:00.000Z	47.2809",,,,
"98	2021-08-31T16:00:00.000Z	48.2875",,,,
"99	2021-09-01T00:00:00.000Z	47.8625",,,,
"100	2021-09-01T08:00:00.000Z	45.7844",,,,
"101	2021-09-01T16:00:00.000Z	45.3625",,,,
"102	2021-09-02T00:00:00.000Z	38.3875",,,,
"103	2021-09-02T08:00:00.000Z	36.2",,,,
"104	2021-09-02T16:00:00.000Z	39.2188",,,,
"105	2021-09-03T00:00:00.000Z	41.0944",,,,
"106	2021-09-03T08:00:00.000Z	41.9888",,,,
"107	2021-09-03T16:00:00.000Z	41.3625",,,,
"108	2021-09-04T00:00:00.000Z	39.9988",,,,
